genres,app_name,release_date,tags,id,playtime_forever
"['Indie', 'Simulation']",Garry's Mod,2006,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000,0
['Racing'],RACE - The WTCC Game,2006,"['Racing', 'Simulation']",4230,0
"['Casual', 'Indie']",Zen of Sudoku,2006,"['Casual', 'Indie', 'Puzzle']",4900,0
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006,"['Casual', 'Indie', 'Singleplayer']",2520,0
['Strategy'],Ghost Master®,2003,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200,32
['Strategy'],Vegas: Make It Big™,2006,"['Strategy', 'Simulation', 'Management']",6210,0
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300,19
['Racing'],FlatOut 2™,2006,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990,12
['Racing'],FlatOut,2005,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220,15
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510,139
['Strategy'],CivCity: Rome,2006,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980,392
['RPG'],Arx Fatalis,2002,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700,538
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310,0
['Strategy'],Civilization IV®: Warlords,2006,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990,0
['Strategy'],Railroad Tycoon 3,2003,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610,0
['Strategy'],Sid Meier's Railroads!,2006,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600,1834
['Strategy'],Railroad Tycoon II Platinum,1998,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620,0
['Strategy'],X-COM: Terror From the Deep,1995,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650,0
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000,0
['Action'],Devil May Cry® 3 Special Edition,2006,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550,0
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200,0
['Action'],Final DOOM,1996,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",2290,0
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006,"['Adventure', 'Action']",8210,0
['Action'],Ultimate Doom,1995,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",2280,160
['Action'],Master Levels for Doom II,1995,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",9160,0
['Action'],DOOM II,1994,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",2300,0
['Action'],Wolfenstein 3D,1994,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",2270,4
['Action'],Return to Castle Wolfenstein,2001,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",9010,131
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",9040,0
['Action'],Spear of Destiny,1993,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",9000,0
['Action'],BloodRayne,2003,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",3810,0
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",9030,0
['Action'],QUAKE,2007,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",2310,2
['Strategy'],Genesis Rising,2007,"['Strategy', 'Space', 'Sci-fi', 'RTS']",3230,0
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",9310,107
"['Action', 'RPG']",BioShock™,2007,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",7670,0
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",4570,0
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",4580,46
['Strategy'],Rome: Total War™ - Collection,2004,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",4760,0
['Strategy'],Rome: Total War™ - Alexander,2006,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",4770,0
['Casual'],Mystery Case Files: Madame Fate®,2007,"['Casual', 'Hidden Object']",50970,31
['Action'],Manhunt,2004,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",12130,334
['Racing'],Midnight Club 2,2003,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",12160,465
['Action'],Max Payne 2: The Fall of Max Payne,2003,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",12150,0
"['Action', 'Adventure']",Tomb Raider: Legend,2006,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",7000,0
['Action'],Max Payne,2001,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",12140,6
['Strategy'],Command & Conquer: Red Alert 3,2008,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",17480,127
['Casual'],PuzzleQuest: Challenge of the Warlords,2007,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",12500,546
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",12310,0
['Strategy'],Prison Tycoon 3™: Lockdown,2007,"['Strategy', 'Simulation']",12510,0
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007,"['Action', 'Adventure', 'Strategy', 'Hunting']",12530,0
['Racing'],18 Wheels of Steel: American Long Haul,2007,"['Simulation', 'Racing', 'Driving', 'Open World']",12520,0
['Action'],Conflict: Denied Ops,2008,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",8100,45
['Action'],ARMA: Combat Operations,2007,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",2780,112
['Action'],Desperados 2: Cooper's Revenge,2006,"['Action', 'Western', 'Strategy', 'Tactical']",9710,0
"['Action', 'Adventure']",Death to Spies,2007,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",9800,0
['Action'],Act of War: High Treason,2006,"['Action', 'Strategy', 'RTS']",9760,437
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",2700,46
['Action'],Act of War: Direct Action,2005,"['Action', 'Strategy', 'RTS']",2710,82
['Action'],Unreal 2: The Awakening,2003,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",13200,0
['Action'],Unreal Gold,1998,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",13250,0
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008,"['Indie', 'Casual', 'Ninja']",13000,0
['Action'],Tom Clancy's Splinter Cell®,2003,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",13560,172
['Action'],Far Cry®,2004,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",13520,0
['Action'],Unreal Tournament: Game of the Year Edition,2000,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",13240,0
['Action'],Tom Clancy's Rainbow Six® Vegas,2006,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",13540,0
['Simulation'],Silent Hunter® III,2005,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",15210,75
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008,"['Casual', 'Simulation']",16180,128
['Casual'],Mystery P.I.™ - The Vegas Heist,2008,"['Casual', 'Hidden Object']",3520,188
['Casual'],Luxor,2008,"['Casual', 'Match 3']",15970,329
['Casual'],Reaxxion,2008,"['Casual', 'Arcade']",15950,0
['Casual'],Little Farm,2008,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",15960,0
['Casual'],7 Wonders II,2008,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",15900,0
['Casual'],Luxor Amun Rising,2005,['Casual'],15910,616
['Casual'],Luxor 3,2007,"['Casual', 'Puzzle']",15930,429
['Simulation'],Petz® Horsez® 2,2007,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",15160,35
['Casual'],Luxor 2,2005,['Casual'],15920,3
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",15080,94
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007,"['Simulation', 'World War II', 'Naval', 'Military']",15200,0
['Simulation'],IL-2 Sturmovik: 1946,2006,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",15320,0
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,"['Simulation', 'World War II', 'Naval']",15240,0
['Adventure'],Bone: Out From Boneville,2005,"['Adventure', 'Point & Click']",8310,0
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005,['Racing'],12600,0
['Adventure'],Bone: The Great Cow Race,2006,"['Adventure', 'Point & Click']",8320,0
['Racing'],Sprint Cars Road to Knoxville,2008,['Racing'],12590,0
['Simulation'],Ride! Carnival Tycoon,2007,"['Simulation', 'Management']",12560,0
['Casual'],Mahjongg Investigations: Under Suspicion,2007,"['Casual', 'Puzzle']",12540,0
['Adventure'],Dracula Origin,2008,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",11050,0
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",11040,0
"['Adventure', 'Indie']",Eternity's Child,2008,"['Indie', 'Adventure', 'Platformer']",19500,0
"['Simulation', 'Strategy']",Pacific Storm Allies,2007,"['Simulation', 'Strategy', 'World War II', 'Naval']",11260,0
"['Action', 'Indie']",Tank Universal,2008,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",19200,0
['Racing'],FlatOut: Ultimate Carnage,2008,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",12360,1
['Adventure'],Oddworld: Abe's Exoddus®,1998,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",15710,0
['Adventure'],Oddworld: Abe's Oddysee®,1997,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",15700,0
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']",8660,0
['Strategy'],X-COM: Enforcer,2001,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']",7770,0
['Strategy'],X-COM: Apocalypse,1997,"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']",7660,0
['Strategy'],X-COM: UFO Defense,1993,"['Strategy', 'Classic', 'Turn-Based Strategy', 'Sci-fi', 'Turn-Based', 'Tactical', 'Aliens', 'Singleplayer', 'Difficult', 'Turn-Based Tactics', 'Isometric', 'Base Building', 'Simulation', 'Atmospheric', ""1990's"", 'Action', 'Retro', 'Adventure', 'Management', 'Space']",7760,0
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008,"['Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'RPG', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']",20510,0
['Action'],Crysis Warhead®,2008,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",17330,0
['Action'],Crysis,2007,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']",17300,404
['Strategy'],X-COM: Interceptor,1998,"['Strategy', 'Sci-fi', 'Space', 'Flight', 'Space Sim', 'Singleplayer']",7730,0
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008,"['RPG', 'Fantasy', 'Story Rich', 'Mature', 'Third Person', 'Singleplayer', 'Choices Matter', 'Action', 'Nudity', 'Adventure', 'Dark Fantasy', 'Based On A Novel', 'Atmospheric', 'Great Soundtrack', 'Open World', 'Multiple Endings', 'Medieval', 'Action RPG', 'Magic', 'Classic']",20900,0
['Indie'],Multiwinia,2008,"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']",1530,0
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008,"['Racing', 'Simulation']",8690,0
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008,"['City Builder', 'Simulation', 'Management', 'Historical', 'Singleplayer', 'Sandbox', 'Strategy']",17120,75
['Strategy'],Sid Meier's Civilization IV: Colonization,2008,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical', 'Singleplayer', 'Multiplayer', 'Moddable']",16810,0
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003,"['Tactical', 'Action', 'FPS', 'Simulation', 'Strategy', 'Realistic', 'First-Person', 'Co-op', 'Shooter', 'Classic', 'Singleplayer']",19830,0
"['Action', 'Adventure']",LEGO Batman,2008,"['LEGO', 'Action', 'Adventure', 'Batman', 'Local Co-Op', 'Superhero', 'Family Friendly', 'Co-op', 'Comedy', 'Singleplayer', 'Comic Book', 'Funny', 'Third Person', 'Controller', 'Local Multiplayer', 'Multiplayer']",21000,0
"['Simulation', 'Strategy']",City Life 2008,2008,"['Simulation', 'Strategy', 'City Builder']",4460,48
